player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Eden Hazard,15,Chelsea,34," M(CLR),FW  ",32(5),2926,15,2.6,49.2,84.3,0.9,2.7,0.3,7.81,16,2,0,2.5,0.5,14,3.7,2.8,0.3,2.3,2.4,0.4,0.4,0.3,0,0.1,0.3,0,0
Raheem Sterling,167,Man City,30," M(CLR),FW  ",31(3),2777,10,1.9,37.1,85.8,0.4,0.3,0,7.61,17,3,0,2.3,0.4,8,2.4,1.3,0.4,2.6,2.2,0.9,0.5,1.2,0,0.1,0.5,0.1,0
Mohamed Salah,26,Liverpool,32," AM(CLR),FW  ",37(1),3262,8,1.8,28.4,75.9,0.4,0.6,0.3,7.57,22,1,0,3.6,0.3,8,2.1,0.8,0.7,3.1,2.9,0.6,0.1,0.7,0,0.1,0.3,0,0
Sergio Agüero,167,Man City,36," AM(CL),FW  ",31(2),2480,8,1,23.4,85,0,0.1,0.1,7.53,21,3,0,3.6,0.5,5,1.4,0.8,0.8,1.6,2.2,0.5,0.3,0.6,0,0.1,0.1,0,0
Virgil van Dijk,26,Liverpool,33, D(C)  ,38,3385,2,0.2,79.9,89.7,0,5.3,0,7.44,4,1,0,0.8,4.8,4,0.2,0.6,0,0,0.2,1,1.1,0.3,1.1,5.2,0,0.5,0
Sadio Mané,26,Liverpool,32," AM(CLR),FW  ",35(1),3086,1,1.3,32.9,78.2,0.2,1.3,0.1,7.43,22,2,0,2.4,1,6,1.4,1.8,0.7,1.3,2.9,1,0.4,0.9,0.1,0.2,0.8,0.1,0
Harry Kane,30,Tottenham,31," AM(C),FW  ",27(1),2427,4,1.1,19.7,73.1,0.1,1.6,0,7.38,17,5,0,3.6,1.8,6,1.4,1.9,0.4,1.6,2.9,0.4,0,1.1,0,0.5,0.5,0.2,0
Trent Alexander-Arnold,26,Liverpool,26," D(R),DMC,M(R)  ",27(2),2467,12,1.7,58.5,77.5,2,4,0.1,7.36,1,3,0,1,0.3,1,0.5,0.2,0.1,0.5,1.4,2.1,1.2,0.5,0.3,2.1,1.1,0.1,0
Lucas Digne,31,Everton,31," D(CL),M(L)  ",33(2),2966,4,2,41.6,76,2.4,1.7,0,7.36,4,5,1,1,2.6,4,0.4,0.9,0.1,0.9,0.9,2,1.7,1.1,0.3,2.7,0.5,0.3,1
Ricardo Pereira,14,Leicester,31," D(LR),M(R)  ",35,3125,6,0.9,43.8,78,0.4,1.2,0,7.34,2,7,0,0.7,1.9,4,1.9,1.4,0.1,1,1.5,3.4,1.7,1.2,0.2,3,1.7,0.2,0
